:ID(Flight),flight_number,aircraft_id,operator,origin,destination,scheduled_departure,scheduled_arrival
FL00255,RE168,AC1007,RegionalCo,BOS,PHX,2024-08-10T07:00:00,2024-08-10T11:29:00
FL00256,RE980,AC1019,RegionalCo,SEA,DFW,2024-08-13T14:00:00,2024-08-13T17:36:00
FL00257,NO789,AC1008,NorthernJet,ORD,ATL,2024-09-06T06:00:00,2024-09-06T07:45:00
FL00258,SK722,AC1006,SkyWays,SFO,BOS,2024-09-05T19:00:00,2024-09-05T22:08:00
FL00259,EX406,AC1009,ExampleAir,DFW,LAX,2024-09-11T12:00:00,2024-09-11T16:57:00
FL00260,RE649,AC1019,RegionalCo,LAX,MIA,2024-08-10T16:00:00,2024-08-10T19:27:00
FL00261,RE214,AC1019,RegionalCo,PHX,ORD,2024-07-06T07:00:00,2024-07-06T12:35:00
FL00262,SK892,AC1002,SkyWays,BOS,MSP,2024-09-24T20:00:00,2024-09-25T00:10:00
FL00263,NO419,AC1012,NorthernJet,SEA,PHX,2024-07-06T12:00:00,2024-07-06T17:04:00
FL00264,SK322,AC1006,SkyWays,SEA,JFK,2024-09-16T18:00:00,2024-09-16T23:02:00
FL00265,NO705,AC1016,NorthernJet,BOS,MSP,2024-09-22T17:00:00,2024-09-22T18:30:00
FL00266,RE103,AC1003,RegionalCo,MIA,MSP,2024-09-26T06:00:00,2024-09-26T07:52:00
FL00267,RE706,AC1011,RegionalCo,SEA,DEN,2024-09-21T00:00:00,2024-09-21T04:18:00
FL00268,RE118,AC1003,RegionalCo,DEN,BOS,2024-08-21T18:00:00,2024-08-21T22:14:00
FL00269,EX237,AC1001,ExampleAir,BOS,SEA,2024-07-06T19:00:00,2024-07-06T21:36:00
FL00270,EX878,AC1009,ExampleAir,MIA,ORD,2024-09-20T17:00:00,2024-09-20T21:46:00
FL00271,NO633,AC1020,NorthernJet,MIA,JFK,2024-09-23T13:00:00,2024-09-23T17:22:00
FL00272,NO961,AC1020,NorthernJet,DFW,MIA,2024-07-13T11:00:00,2024-07-13T14:25:00
FL00273,NO831,AC1004,NorthernJet,SEA,BOS,2024-09-10T17:00:00,2024-09-10T18:39:00
FL00274,RE690,AC1011,RegionalCo,ORD,PHX,2024-07-22T22:00:00,2024-07-23T01:00:00
FL00275,SK541,AC1002,SkyWays,ORD,MIA,2024-09-10T14:00:00,2024-09-10T16:46:00
FL00276,RE223,AC1019,RegionalCo,JFK,DEN,2024-08-22T02:00:00,2024-08-22T05:21:00
FL00277,RE593,AC1015,RegionalCo,JFK,ATL,2024-07-10T06:00:00,2024-07-10T11:45:00
FL00278,EX693,AC1017,ExampleAir,SEA,JFK,2024-08-14T12:00:00,2024-08-14T17:07:00
FL00279,NO822,AC1004,NorthernJet,ORD,DFW,2024-08-23T06:00:00,2024-08-23T08:45:00
FL00280,RE803,AC1003,RegionalCo,JFK,ATL,2024-07-10T09:00:00,2024-07-10T12:16:00
FL00281,EX929,AC1009,ExampleAir,PHX,DFW,2024-07-29T07:00:00,2024-07-29T12:03:00
FL00282,RE756,AC1019,RegionalCo,LAX,ATL,2024-08-12T23:00:00,2024-08-13T04:48:00
FL00283,NO586,AC1016,NorthernJet,DFW,LAX,2024-07-04T11:00:00,2024-07-04T14:37:00
FL00284,RE215,AC1019,RegionalCo,BOS,DFW,2024-08-11T07:00:00,2024-08-11T11:07:00
FL00285,EX605,AC1001,ExampleAir,DFW,MIA,2024-08-30T23:00:00,2024-08-31T01:02:00
FL00286,EX612,AC1009,ExampleAir,ATL,MIA,2024-09-07T22:00:00,2024-09-08T00:06:00
FL00287,RE107,AC1003,RegionalCo,DEN,JFK,2024-07-31T20:00:00,2024-07-31T23:35:00
FL00288,NO304,AC1008,NorthernJet,SEA,DFW,2024-09-08T01:00:00,2024-09-08T03:31:00
FL00289,SK764,AC1006,SkyWays,SFO,PHX,2024-09-28T13:00:00,2024-09-28T18:37:00
FL00290,NO495,AC1012,NorthernJet,BOS,PHX,2024-09-21T06:00:00,2024-09-21T09:52:00
FL00291,NO672,AC1016,NorthernJet,BOS,PHX,2024-08-07T02:00:00,2024-08-07T06:32:00
FL00292,SK935,AC1018,SkyWays,ATL,LAX,2024-09-03T13:00:00,2024-09-03T17:50:00
FL00293,RE496,AC1007,RegionalCo,SEA,DFW,2024-08-21T02:00:00,2024-08-21T07:04:00
FL00294,RE419,AC1019,RegionalCo,ATL,JFK,2024-07-13T07:00:00,2024-07-13T10:02:00
FL00295,RE915,AC1007,RegionalCo,ORD,DFW,2024-07-03T21:00:00,2024-07-04T01:47:00
FL00296,SK137,AC1018,SkyWays,MSP,MIA,2024-09-07T02:00:00,2024-09-07T06:30:00
FL00297,EX791,AC1009,ExampleAir,ORD,LAX,2024-07-24T04:00:00,2024-07-24T06:18:00
FL00298,SK588,AC1014,SkyWays,LAX,BOS,2024-08-31T12:00:00,2024-08-31T16:11:00
FL00299,SK666,AC1006,SkyWays,JFK,MIA,2024-08-24T04:00:00,2024-08-24T09:24:00
FL00300,EX608,AC1001,ExampleAir,SEA,PHX,2024-07-18T19:00:00,2024-07-18T23:48:00
FL00301,EX840,AC1009,ExampleAir,DEN,SEA,2024-09-06T22:00:00,2024-09-07T00:35:00
FL00302,EX260,AC1009,ExampleAir,ORD,MIA,2024-08-14T09:00:00,2024-08-14T11:36:00
FL00303,EX170,AC1001,ExampleAir,LAX,DEN,2024-08-26T15:00:00,2024-08-26T20:08:00
FL00304,RE470,AC1003,RegionalCo,DEN,MIA,2024-07-03T01:00:00,2024-07-03T02:58:00
FL00305,EX633,AC1001,ExampleAir,BOS,SEA,2024-08-26T14:00:00,2024-08-26T18:45:00
FL00306,RE570,AC1007,RegionalCo,ATL,SEA,2024-08-17T16:00:00,2024-08-17T19:48:00
FL00307,NO659,AC1012,NorthernJet,MIA,PHX,2024-09-06T22:00:00,2024-09-07T02:38:00
FL00308,EX227,AC1009,ExampleAir,SFO,LAX,2024-09-25T02:00:00,2024-09-25T04:04:00
FL00309,NO475,AC1020,NorthernJet,BOS,JFK,2024-07-09T04:00:00,2024-07-09T07:23:00
FL00310,NO142,AC1020,NorthernJet,MSP,ATL,2024-08-24T16:00:00,2024-08-24T19:01:00
FL00311,EX603,AC1017,ExampleAir,ORD,BOS,2024-08-16T02:00:00,2024-08-16T06:38:00
FL00312,NO317,AC1016,NorthernJet,JFK,PHX,2024-07-20T01:00:00,2024-07-20T04:15:00
FL00313,NO599,AC1016,NorthernJet,LAX,PHX,2024-08-07T05:00:00,2024-08-07T10:59:00
FL00314,RE370,AC1011,RegionalCo,SEA,LAX,2024-07-14T09:00:00,2024-07-14T13:11:00
FL00315,NO504,AC1020,NorthernJet,MIA,JFK,2024-09-11T06:00:00,2024-09-11T08:09:00
FL00316,SK470,AC1006,SkyWays,BOS,MIA,2024-09-26T10:00:00,2024-09-26T13:24:00
FL00317,SK376,AC1018,SkyWays,PHX,ORD,2024-07-02T18:00:00,2024-07-02T21:48:00
FL00318,NO299,AC1004,NorthernJet,DEN,SFO,2024-07-29T00:00:00,2024-07-29T04:42:00
FL00319,NO424,AC1004,NorthernJet,MIA,LAX,2024-07-16T23:00:00,2024-07-17T03:00:00
FL00320,SK970,AC1018,SkyWays,MIA,JFK,2024-08-05T13:00:00,2024-08-05T15:44:00
FL00321,EX955,AC1001,ExampleAir,DEN,ORD,2024-09-21T19:00:00,2024-09-21T23:10:00
FL00322,NO225,AC1008,NorthernJet,ATL,MIA,2024-08-28T06:00:00,2024-08-28T07:30:00
FL00323,EX146,AC1009,ExampleAir,SFO,JFK,2024-08-10T15:00:00,2024-08-10T20:39:00
FL00324,SK318,AC1006,SkyWays,DEN,JFK,2024-08-15T10:00:00,2024-08-15T15:20:00
FL00325,NO171,AC1016,NorthernJet,JFK,DFW,2024-07-03T04:00:00,2024-07-03T06:24:00
FL00326,EX676,AC1001,ExampleAir,BOS,SFO,2024-09-28T15:00:00,2024-09-28T20:26:00
FL00327,RE271,AC1019,RegionalCo,SEA,MIA,2024-09-23T23:00:00,2024-09-24T03:00:00
FL00328,SK766,AC1014,SkyWays,ORD,PHX,2024-09-24T20:00:00,2024-09-24T23:32:00
FL00329,NO473,AC1016,NorthernJet,MIA,DFW,2024-07-24T05:00:00,2024-07-24T09:09:00
FL00330,RE917,AC1015,RegionalCo,BOS,ATL,2024-07-19T08:00:00,2024-07-19T10:06:00
FL00331,SK511,AC1014,SkyWays,PHX,ATL,2024-09-25T02:00:00,2024-09-25T04:45:00
FL00332,RE131,AC1011,RegionalCo,BOS,JFK,2024-08-05T20:00:00,2024-08-05T22:25:00
FL00333,SK247,AC1018,SkyWays,LAX,DEN,2024-08-15T04:00:00,2024-08-15T09:03:00
FL00334,NO942,AC1020,NorthernJet,LAX,SEA,2024-08-14T18:00:00,2024-08-14T23:28:00
FL00335,SK834,AC1006,SkyWays,ATL,MSP,2024-08-19T17:00:00,2024-08-19T22:13:00
FL00336,RE684,AC1007,RegionalCo,SFO,ATL,2024-09-11T02:00:00,2024-09-11T03:49:00
FL00337,EX168,AC1013,ExampleAir,JFK,DEN,2024-08-24T18:00:00,2024-08-24T22:35:00
FL00338,EX843,AC1013,ExampleAir,MIA,DEN,2024-08-16T11:00:00,2024-08-16T12:53:00
FL00339,SK339,AC1018,SkyWays,MIA,MSP,2024-08-23T00:00:00,2024-08-23T03:17:00
FL00340,SK224,AC1002,SkyWays,ATL,LAX,2024-09-08T08:00:00,2024-09-08T13:24:00
FL00341,NO782,AC1008,NorthernJet,DFW,BOS,2024-09-08T22:00:00,2024-09-09T00:59:00
FL00342,SK688,AC1006,SkyWays,SEA,ORD,2024-07-18T06:00:00,2024-07-18T11:37:00
FL00343,NO409,AC1004,NorthernJet,JFK,SEA,2024-07-20T03:00:00,2024-07-20T06:08:00
FL00344,SK383,AC1014,SkyWays,SEA,ORD,2024-07-10T10:00:00,2024-07-10T15:13:00
FL00345,RE879,AC1007,RegionalCo,DFW,LAX,2024-09-29T22:00:00,2024-09-29T23:33:00
FL00346,EX309,AC1001,ExampleAir,ATL,ORD,2024-07-08T02:00:00,2024-07-08T05:13:00
FL00347,RE196,AC1019,RegionalCo,JFK,LAX,2024-08-20T07:00:00,2024-08-20T12:36:00
FL00348,NO558,AC1016,NorthernJet,LAX,JFK,2024-09-21T00:00:00,2024-09-21T05:04:00
FL00349,RE130,AC1015,RegionalCo,MSP,PHX,2024-09-12T00:00:00,2024-09-12T04:29:00
FL00350,EX864,AC1001,ExampleAir,ATL,DFW,2024-08-07T17:00:00,2024-08-07T22:34:00
FL00351,NO677,AC1008,NorthernJet,DEN,ATL,2024-08-06T17:00:00,2024-08-06T19:46:00
FL00352,NO240,AC1004,NorthernJet,PHX,LAX,2024-09-08T17:00:00,2024-09-08T20:16:00
FL00353,NO350,AC1012,NorthernJet,ATL,DFW,2024-09-22T04:00:00,2024-09-22T05:38:00
FL00354,SK746,AC1014,SkyWays,BOS,LAX,2024-07-09T03:00:00,2024-07-09T07:17:00
FL00355,SK268,AC1018,SkyWays,JFK,PHX,2024-08-25T13:00:00,2024-08-25T15:37:00
FL00356,RE465,AC1007,RegionalCo,BOS,ATL,2024-08-02T20:00:00,2024-08-02T22:48:00
FL00357,EX732,AC1013,ExampleAir,SEA,DEN,2024-09-29T12:00:00,2024-09-29T14:15:00
FL00358,EX484,AC1009,ExampleAir,LAX,BOS,2024-08-03T10:00:00,2024-08-03T15:22:00
FL00359,SK843,AC1014,SkyWays,ORD,LAX,2024-08-27T01:00:00,2024-08-27T05:48:00
FL00360,RE254,AC1007,RegionalCo,LAX,SFO,2024-07-31T14:00:00,2024-07-31T18:21:00
FL00361,RE783,AC1015,RegionalCo,DFW,BOS,2024-08-14T10:00:00,2024-08-14T15:45:00
FL00362,RE667,AC1007,RegionalCo,ORD,LAX,2024-07-13T16:00:00,2024-07-13T21:22:00
FL00363,SK229,AC1014,SkyWays,DFW,ATL,2024-09-13T14:00:00,2024-09-13T19:06:00
FL00364,EX483,AC1013,ExampleAir,LAX,ORD,2024-09-12T22:00:00,2024-09-13T03:19:00
FL00365,RE746,AC1019,RegionalCo,SEA,DFW,2024-09-24T11:00:00,2024-09-24T12:44:00
FL00366,NO629,AC1008,NorthernJet,DFW,PHX,2024-09-13T20:00:00,2024-09-13T23:37:00
FL00367,SK334,AC1010,SkyWays,PHX,ATL,2024-09-29T09:00:00,2024-09-29T13:14:00
FL00368,SK915,AC1010,SkyWays,PHX,BOS,2024-08-28T13:00:00,2024-08-28T16:37:00
FL00369,NO293,AC1020,NorthernJet,SFO,DFW,2024-07-25T02:00:00,2024-07-25T06:45:00
FL00370,RE260,AC1019,RegionalCo,BOS,MIA,2024-09-10T08:00:00,2024-09-10T12:11:00
FL00371,NO170,AC1016,NorthernJet,LAX,MSP,2024-09-13T12:00:00,2024-09-13T16:45:00
FL00372,SK496,AC1006,SkyWays,DEN,DFW,2024-07-22T20:00:00,2024-07-22T23:00:00
FL00373,NO745,AC1012,NorthernJet,PHX,MIA,2024-08-28T08:00:00,2024-08-28T09:45:00
FL00374,RE459,AC1003,RegionalCo,DEN,BOS,2024-08-28T20:00:00,2024-08-29T00:44:00
FL00375,EX307,AC1009,ExampleAir,DEN,SEA,2024-08-18T06:00:00,2024-08-18T09:03:00
FL00376,RE978,AC1007,RegionalCo,DFW,ATL,2024-07-24T20:00:00,2024-07-25T00:01:00
FL00377,RE697,AC1011,RegionalCo,ORD,SEA,2024-09-18T11:00:00,2024-09-18T14:18:00
FL00378,NO818,AC1012,NorthernJet,JFK,MSP,2024-07-02T02:00:00,2024-07-02T07:17:00
FL00379,SK434,AC1002,SkyWays,DFW,PHX,2024-07-10T07:00:00,2024-07-10T10:20:00
FL00380,SK574,AC1010,SkyWays,SEA,SFO,2024-08-21T05:00:00,2024-08-21T07:55:00
FL00381,EX300,AC1009,ExampleAir,MIA,MSP,2024-07-28T10:00:00,2024-07-28T14:00:00
FL00382,SK238,AC1006,SkyWays,ATL,DEN,2024-08-13T06:00:00,2024-08-13T09:30:00
FL00383,RE447,AC1019,RegionalCo,ORD,SFO,2024-09-06T11:00:00,2024-09-06T16:01:00
FL00384,RE117,AC1007,RegionalCo,PHX,SFO,2024-08-01T00:00:00,2024-08-01T03:43:00
FL00385,NO896,AC1012,NorthernJet,MIA,SFO,2024-07-18T03:00:00,2024-07-18T06:25:00
FL00386,NO247,AC1008,NorthernJet,LAX,SEA,2024-09-14T08:00:00,2024-09-14T12:17:00
FL00387,RE859,AC1011,RegionalCo,DFW,ATL,2024-08-26T03:00:00,2024-08-26T04:35:00
FL00388,RE586,AC1019,RegionalCo,PHX,MIA,2024-08-08T12:00:00,2024-08-08T14:10:00
FL00389,SK888,AC1006,SkyWays,SEA,MIA,2024-09-19T01:00:00,2024-09-19T02:35:00
FL00390,RE316,AC1019,RegionalCo,PHX,MIA,2024-09-05T12:00:00,2024-09-05T15:32:00
FL00391,EX922,AC1001,ExampleAir,MSP,DEN,2024-07-06T04:00:00,2024-07-06T09:38:00
FL00392,NO536,AC1008,NorthernJet,SEA,DFW,2024-08-10T13:00:00,2024-08-10T18:27:00
FL00393,EX644,AC1017,ExampleAir,ORD,SEA,2024-09-16T17:00:00,2024-09-16T22:15:00
FL00394,NO868,AC1020,NorthernJet,DEN,DFW,2024-07-27T11:00:00,2024-07-27T12:42:00
FL00395,RE943,AC1015,RegionalCo,ORD,JFK,2024-07-05T08:00:00,2024-07-05T12:45:00
FL00396,RE813,AC1011,RegionalCo,PHX,ATL,2024-09-22T09:00:00,2024-09-22T11:15:00
FL00397,NO414,AC1004,NorthernJet,JFK,MIA,2024-07-10T06:00:00,2024-07-10T09:16:00
FL00398,NO607,AC1008,NorthernJet,ORD,BOS,2024-07-08T07:00:00,2024-07-08T09:03:00
FL00399,RE488,AC1003,RegionalCo,MSP,JFK,2024-09-23T03:00:00,2024-09-23T06:46:00
FL00400,EX363,AC1005,ExampleAir,PHX,MSP,2024-07-23T02:00:00,2024-07-23T03:45:00
FL00401,SK340,AC1014,SkyWays,ORD,DEN,2024-09-04T03:00:00,2024-09-04T05:37:00
FL00402,SK682,AC1002,SkyWays,LAX,DEN,2024-09-18T20:00:00,2024-09-18T23:50:00
FL00403,EX707,AC1005,ExampleAir,SEA,MSP,2024-08-26T00:00:00,2024-08-26T03:33:00
FL00404,NO363,AC1004,NorthernJet,ATL,JFK,2024-07-12T09:00:00,2024-07-12T12:34:00
FL00405,RE963,AC1019,RegionalCo,SEA,LAX,2024-08-31T01:00:00,2024-08-31T03:45:00
FL00406,NO246,AC1016,NorthernJet,SFO,BOS,2024-09-07T23:00:00,2024-09-08T04:55:00
FL00407,SK320,AC1018,SkyWays,DEN,PHX,2024-09-03T08:00:00,2024-09-03T09:34:00
FL00408,EX239,AC1017,ExampleAir,ORD,SEA,2024-08-15T10:00:00,2024-08-15T14:21:00
FL00409,SK956,AC1006,SkyWays,MIA,DFW,2024-09-27T20:00:00,2024-09-28T00:25:00
FL00410,NO353,AC1008,NorthernJet,MSP,ATL,2024-08-09T23:00:00,2024-08-10T04:08:00
FL00411,RE855,AC1019,RegionalCo,ORD,SEA,2024-07-18T06:00:00,2024-07-18T10:36:00
FL00412,NO593,AC1016,NorthernJet,MSP,DFW,2024-09-13T00:00:00,2024-09-13T02:34:00
FL00413,EX931,AC1001,ExampleAir,MIA,JFK,2024-09-01T21:00:00,2024-09-02T01:57:00
FL00414,NO651,AC1016,NorthernJet,DFW,LAX,2024-08-13T16:00:00,2024-08-13T21:55:00
FL00415,SK255,AC1006,SkyWays,BOS,DFW,2024-07-14T18:00:00,2024-07-14T21:32:00
FL00416,SK113,AC1006,SkyWays,PHX,MSP,2024-07-24T14:00:00,2024-07-24T18:32:00
FL00417,EX852,AC1009,ExampleAir,SEA,DFW,2024-09-15T14:00:00,2024-09-15T19:13:00
FL00418,SK121,AC1010,SkyWays,MIA,SEA,2024-08-24T14:00:00,2024-08-24T19:01:00
FL00419,EX741,AC1009,ExampleAir,SEA,JFK,2024-07-26T19:00:00,2024-07-26T21:41:00
FL00420,EX139,AC1017,ExampleAir,BOS,ATL,2024-09-04T13:00:00,2024-09-04T17:30:00
FL00421,EX158,AC1013,ExampleAir,DFW,BOS,2024-09-01T20:00:00,2024-09-01T23:59:00
FL00422,NO143,AC1008,NorthernJet,DFW,SEA,2024-08-20T11:00:00,2024-08-20T12:39:00
FL00423,SK299,AC1010,SkyWays,DFW,PHX,2024-08-28T20:00:00,2024-08-28T21:51:00
FL00424,EX752,AC1017,ExampleAir,ATL,SEA,2024-09-14T00:00:00,2024-09-14T02:05:00
FL00425,EX723,AC1001,ExampleAir,DFW,SFO,2024-07-19T15:00:00,2024-07-19T16:47:00
FL00426,EX285,AC1013,ExampleAir,PHX,SFO,2024-09-19T07:00:00,2024-09-19T09:48:00
FL00427,NO229,AC1016,NorthernJet,SEA,PHX,2024-07-28T16:00:00,2024-07-28T19:17:00
FL00428,NO927,AC1008,NorthernJet,DEN,BOS,2024-08-20T08:00:00,2024-08-20T10:59:00
FL00429,EX190,AC1017,ExampleAir,PHX,ORD,2024-08-04T11:00:00,2024-08-04T13:40:00
FL00430,RE387,AC1019,RegionalCo,ATL,MIA,2024-08-09T03:00:00,2024-08-09T05:39:00
FL00431,EX721,AC1017,ExampleAir,DEN,JFK,2024-07-27T23:00:00,2024-07-28T04:30:00
FL00432,RE449,AC1019,RegionalCo,SFO,JFK,2024-07-18T07:00:00,2024-07-18T12:11:00
FL00433,NO922,AC1016,NorthernJet,PHX,SEA,2024-09-06T13:00:00,2024-09-06T17:26:00
FL00434,NO299,AC1020,NorthernJet,MSP,DEN,2024-07-14T05:00:00,2024-07-14T10:38:00
FL00435,NO306,AC1020,NorthernJet,PHX,ORD,2024-09-26T17:00:00,2024-09-26T21:44:00
FL00436,NO302,AC1012,NorthernJet,DFW,BOS,2024-09-02T06:00:00,2024-09-02T08:45:00
FL00437,NO112,AC1008,NorthernJet,DFW,ORD,2024-07-04T06:00:00,2024-07-04T08:17:00
FL00438,NO538,AC1016,NorthernJet,PHX,MSP,2024-08-18T20:00:00,2024-08-18T23:56:00
FL00439,SK290,AC1018,SkyWays,JFK,ATL,2024-08-05T01:00:00,2024-08-05T02:30:00
FL00440,NO882,AC1012,NorthernJet,PHX,SEA,2024-07-08T23:00:00,2024-07-09T04:12:00
FL00441,SK618,AC1018,SkyWays,JFK,ORD,2024-09-26T18:00:00,2024-09-26T22:14:00
FL00442,NO658,AC1020,NorthernJet,PHX,SFO,2024-07-18T11:00:00,2024-07-18T12:54:00
FL00443,NO382,AC1020,NorthernJet,JFK,SEA,2024-07-07T00:00:00,2024-07-07T03:06:00
FL00444,NO811,AC1012,NorthernJet,BOS,DFW,2024-08-12T10:00:00,2024-08-12T13:48:00
FL00445,NO456,AC1020,NorthernJet,MSP,ORD,2024-08-01T01:00:00,2024-08-01T02:44:00
FL00446,RE763,AC1003,RegionalCo,DEN,ATL,2024-08-23T04:00:00,2024-08-23T09:23:00
FL00447,EX424,AC1013,ExampleAir,PHX,ORD,2024-09-10T10:00:00,2024-09-10T15:29:00
FL00448,SK989,AC1002,SkyWays,MIA,ORD,2024-07-18T12:00:00,2024-07-18T15:00:00
FL00449,EX951,AC1013,ExampleAir,SFO,DEN,2024-09-06T08:00:00,2024-09-06T11:02:00
FL00450,SK425,AC1002,SkyWays,ATL,MIA,2024-07-08T07:00:00,2024-07-08T10:06:00
FL00451,RE368,AC1007,RegionalCo,BOS,JFK,2024-08-03T16:00:00,2024-08-03T21:19:00
FL00452,EX588,AC1009,ExampleAir,ATL,MIA,2024-07-17T13:00:00,2024-07-17T16:19:00
FL00453,SK725,AC1006,SkyWays,PHX,LAX,2024-07-18T23:00:00,2024-07-19T04:25:00
FL00454,EX686,AC1017,ExampleAir,ORD,BOS,2024-07-12T14:00:00,2024-07-12T18:25:00
FL00455,SK477,AC1002,SkyWays,MSP,MIA,2024-07-15T02:00:00,2024-07-15T04:17:00
FL00456,SK340,AC1014,SkyWays,MSP,LAX,2024-08-13T01:00:00,2024-08-13T04:14:00
FL00457,NO772,AC1012,NorthernJet,PHX,MSP,2024-09-27T12:00:00,2024-09-27T17:41:00
FL00458,NO394,AC1008,NorthernJet,LAX,MIA,2024-07-09T13:00:00,2024-07-09T16:14:00
FL00459,EX280,AC1009,ExampleAir,DFW,MSP,2024-08-11T05:00:00,2024-08-11T07:04:00
FL00460,SK259,AC1006,SkyWays,LAX,ATL,2024-09-22T13:00:00,2024-09-22T17:35:00
FL00461,RE582,AC1011,RegionalCo,JFK,LAX,2024-08-26T21:00:00,2024-08-27T02:47:00
FL00462,RE211,AC1019,RegionalCo,LAX,BOS,2024-09-10T03:00:00,2024-09-10T06:30:00
FL00463,NO725,AC1020,NorthernJet,MSP,MIA,2024-08-01T21:00:00,2024-08-02T00:32:00
FL00464,RE757,AC1011,RegionalCo,PHX,ORD,2024-09-21T16:00:00,2024-09-21T20:59:00
FL00465,RE553,AC1019,RegionalCo,SEA,DEN,2024-08-16T03:00:00,2024-08-16T08:03:00
FL00466,SK943,AC1014,SkyWays,SFO,ATL,2024-07-03T07:00:00,2024-07-03T10:43:00
FL00467,RE120,AC1007,RegionalCo,SEA,DFW,2024-07-25T19:00:00,2024-07-25T23:51:00
FL00468,SK737,AC1010,SkyWays,ORD,DFW,2024-08-27T09:00:00,2024-08-27T10:56:00
FL00469,EX119,AC1017,ExampleAir,SEA,BOS,2024-07-24T10:00:00,2024-07-24T15:38:00
FL00470,NO552,AC1012,NorthernJet,DFW,ATL,2024-07-16T17:00:00,2024-07-16T21:40:00
FL00471,SK691,AC1002,SkyWays,DFW,SFO,2024-09-22T17:00:00,2024-09-22T18:52:00
FL00472,RE552,AC1007,RegionalCo,SEA,MIA,2024-09-20T12:00:00,2024-09-20T15:28:00
FL00473,RE996,AC1011,RegionalCo,SEA,BOS,2024-08-28T08:00:00,2024-08-28T10:44:00
FL00474,EX476,AC1001,ExampleAir,BOS,ATL,2024-08-31T22:00:00,2024-09-01T00:28:00
FL00475,EX219,AC1009,ExampleAir,ORD,ATL,2024-09-11T20:00:00,2024-09-11T23:58:00
FL00476,NO922,AC1016,NorthernJet,MSP,DFW,2024-08-02T10:00:00,2024-08-02T15:20:00
FL00477,SK605,AC1014,SkyWays,JFK,ORD,2024-08-18T18:00:00,2024-08-18T23:08:00
FL00478,RE636,AC1007,RegionalCo,ORD,SEA,2024-09-17T18:00:00,2024-09-17T23:35:00
FL00479,EX947,AC1013,ExampleAir,ATL,MIA,2024-09-20T18:00:00,2024-09-20T19:50:00
FL00480,EX868,AC1005,ExampleAir,PHX,LAX,2024-08-28T09:00:00,2024-08-28T11:14:00
FL00481,SK479,AC1014,SkyWays,JFK,SEA,2024-08-01T21:00:00,2024-08-02T00:28:00
FL00482,EX334,AC1013,ExampleAir,DEN,DFW,2024-07-16T03:00:00,2024-07-16T07:59:00
FL00483,NO744,AC1004,NorthernJet,MSP,SFO,2024-07-07T06:00:00,2024-07-07T08:15:00
FL00484,SK739,AC1006,SkyWays,DEN,PHX,2024-09-06T19:00:00,2024-09-07T00:39:00
FL00485,SK883,AC1018,SkyWays,DFW,DEN,2024-08-31T23:00:00,2024-09-01T04:31:00
FL00486,EX421,AC1017,ExampleAir,DFW,DEN,2024-09-10T23:00:00,2024-09-11T02:38:00
FL00487,RE296,AC1015,RegionalCo,DFW,JFK,2024-08-01T17:00:00,2024-08-01T21:20:00
FL00488,SK407,AC1018,SkyWays,PHX,SEA,2024-08-26T08:00:00,2024-08-26T12:32:00
FL00489,RE453,AC1011,RegionalCo,DFW,MIA,2024-08-01T23:00:00,2024-08-02T02:02:00
FL00490,RE103,AC1011,RegionalCo,MIA,ORD,2024-08-09T13:00:00,2024-08-09T16:29:00
FL00491,RE120,AC1015,RegionalCo,DEN,ATL,2024-07-20T20:00:00,2024-07-20T23:57:00
FL00492,SK659,AC1014,SkyWays,PHX,SEA,2024-08-10T06:00:00,2024-08-10T07:30:00
FL00493,NO812,AC1016,NorthernJet,SFO,JFK,2024-09-18T16:00:00,2024-09-18T20:03:00
FL00494,SK105,AC1002,SkyWays,ORD,MIA,2024-08-18T05:00:00,2024-08-18T06:53:00
FL00495,EX705,AC1013,ExampleAir,ATL,MSP,2024-08-29T19:00:00,2024-08-29T22:35:00
FL00496,EX530,AC1009,ExampleAir,SEA,LAX,2024-09-23T07:00:00,2024-09-23T08:38:00
FL00497,SK295,AC1010,SkyWays,MIA,DEN,2024-09-29T10:00:00,2024-09-29T14:10:00
FL00498,SK765,AC1014,SkyWays,JFK,DFW,2024-09-18T11:00:00,2024-09-18T15:50:00
FL00499,SK620,AC1018,SkyWays,LAX,ORD,2024-09-17T18:00:00,2024-09-17T21:19:00
FL00500,SK250,AC1010,SkyWays,LAX,MSP,2024-09-26T23:00:00,2024-09-27T01:58:00
FL00501,SK873,AC1014,SkyWays,DFW,PHX,2024-08-28T00:00:00,2024-08-28T02:55:00
FL00502,RE964,AC1015,RegionalCo,MSP,JFK,2024-08-04T19:00:00,2024-08-05T00:25:00
FL00503,EX217,AC1017,ExampleAir,DEN,ATL,2024-09-29T06:00:00,2024-09-29T10:52:00
FL00504,EX116,AC1001,ExampleAir,SFO,DFW,2024-08-26T06:00:00,2024-08-26T10:42:00
FL00505,SK888,AC1002,SkyWays,PHX,DFW,2024-09-19T00:00:00,2024-09-19T03:57:00
FL00506,SK408,AC1006,SkyWays,MIA,JFK,2024-07-12T07:00:00,2024-07-12T08:47:00
FL00507,SK893,AC1014,SkyWays,SEA,ATL,2024-08-19T20:00:00,2024-08-20T01:29:00
FL00508,EX596,AC1001,ExampleAir,SFO,ORD,2024-09-18T12:00:00,2024-09-18T14:53:00
